Route_ID,State,Zone_ID,Route_Source,Patrol_Type,Risk_Level,Hotspot_Score,Crime_Count,Patrol_Date,Patrol_Shift,Start_Hour,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Total_Checkpoints,Route_Checkpoints,Distance_KM,Estimated_Duration_Minutes,Assigned_Officers,Vehicle_Type,Route_Status
ROUTE000026,Andaman and Nicobar Islands,Zone_58,AI Predicted,Preventive Patrol,MEDIUM,32.97,84,2026-09-12,Morning,6,11.746364,92.659169,11.758306,92.660537,7,"[{""checkpoint"": 1, ""latitude"": 11.746364, ""longitude"": 92.659169}, {""checkpoint"": 2, ""latitude"": 11.755485, ""longitude"": 92.654166}, {""checkpoint"": 3, ""latitude"": 11.758197, ""longitude"": 92.655286}, {""checkpoint"": 4, ""latitude"": 11.75299, ""longitude"": 92.664723}, {""checkpoint"": 5, ""latitude"": 11.764841, ""longitude"": 92.661901}, {""checkpoint"": 6, ""latitude"": 11.771242, ""longitude"": 92.662165}, {""checkpoint"": 7, ""latitude"": 11.758306, ""longitude"": 92.660537}]",4.87,9,3,Police Car,In Progress
ROUTE000027,Andaman and Nicobar Islands,Zone_52,Historical,Preventive Patrol,MEDIUM,45.13,93,2027-04-24,Night,0,11.737115,92.650276,11.716821,92.660942,5,"[{""checkpoint"": 1, ""latitude"": 11.737115, ""longitude"": 92.650276}, {""checkpoint"": 2, ""latitude"": 11.739223, ""longitude"": 92.652624}, {""checkpoint"": 3, ""latitude"": 11.743036, ""longitude"": 92.664131}, {""checkpoint"": 4, ""latitude"": 11.731229, ""longitude"": 92.663789}, {""checkpoint"": 5, ""latitude"": 11.716821, ""longitude"": 92.660942}]",14.84,26,3,Police Motorcycle,Completed
ROUTE000028,Andaman and Nicobar Islands,Zone_44,AI Predicted,Preventive Patrol,MEDIUM,42.6,92,2026-08-09,Night,22,11.747406,92.652942,11.718872,92.666193,4,"[{""checkpoint"": 1, ""latitude"": 11.747406, ""longitude"": 92.652942}, {""checkpoint"": 2, ""latitude"": 11.744162, ""longitude"": 92.66084}, {""checkpoint"": 3, ""latitude"": 11.730277, ""longitude"": 92.662294}, {""checkpoint"": 4, ""latitude"": 11.718872, ""longitude"": 92.666193}]",24.85,40,2,Police Motorcycle,In Progress
ROUTE000029,Andaman and Nicobar Islands,Zone_1,AI Predicted,Routine Patrol,MEDIUM,42.1,91,2026-10-24,Morning,6,11.739379,92.648461,11.76982,92.655965,5,"[{""checkpoint"": 1, ""latitude"": 11.739379, ""longitude"": 92.648461}, {""checkpoint"": 2, ""latitude"": 11.751269, ""longitude"": 92.656727}, {""checkpoint"": 3, ""latitude"": 11.759364, ""longitude"": 92.656258}, {""checkpoint"": 4, ""latitude"": 11.771119, ""longitude"": 92.661629}, {""checkpoint"": 5, ""latitude"": 11.76982, ""longitude"": 92.655965}]",17.05,37,3,Police Motorcycle,Cancelled
ROUTE000030,Andaman and Nicobar Islands,Zone_38,Historical,Preventive Patrol,MEDIUM,41.28,91,2027-01-27,Night,0,11.734415,92.65898,11.730919,92.665943,6,"[{""checkpoint"": 1, ""latitude"": 11.734415, ""longitude"": 92.65898}, {""checkpoint"": 2, ""latitude"": 11.724709, ""longitude"": 92.660222}, {""checkpoint"": 3, ""latitude"": 11.727488, ""longitude"": 92.668796}, {""checkpoint"": 4, ""latitude"": 11.725295, ""longitude"": 92.676795}, {""checkpoint"": 5, ""latitude"": 11.718717, ""longitude"": 92.662412}, {""checkpoint"": 6, ""latitude"": 11.730919, ""longitude"": 92.665943}]",8.9,25,3,Police Motorcycle,Cancelled
ROUTE000031,Andaman and Nicobar Islands,Zone_20,AI Predicted,Preventive Patrol,MEDIUM,33.52,84,2027-06-13,Evening,16,11.705672,92.678672,11.736118,92.696614,5,"[{""checkpoint"": 1, ""latitude"": 11.705672, ""longitude"": 92.678672}, {""checkpoint"": 2, ""latitude"": 11.715188, ""longitude"": 92.687529}, {""checkpoint"": 3, ""latitude"": 11.709619, ""longitude"": 92.70102}, {""checkpoint"": 4, ""latitude"": 11.723482, ""longitude"": 92.686287}, {""checkpoint"": 5, ""latitude"": 11.736118, ""longitude"": 92.696614}]",23.89,68,3,Police Motorcycle,Completed
ROUTE000032,Andaman and Nicobar Islands,Zone_15,Historical,Routine Patrol,MEDIUM,42.52,93,2027-04-25,Evening,12,11.728222,92.674969,11.731509,92.694207,4,"[{""checkpoint"": 1, ""latitude"": 11.728222, ""longitude"": 92.674969}, {""checkpoint"": 2, ""latitude"": 11.718563, ""longitude"": 92.689961}, {""checkpoint"": 3, ""latitude"": 11.716769, ""longitude"": 92.69006}, {""checkpoint"": 4, ""latitude"": 11.731509, ""longitude"": 92.694207}]",10.47,17,4,Police Motorcycle,Cancelled
ROUTE000033,Andaman and Nicobar Islands,Zone_16,AI Predicted,High-Risk Patrol,HIGH,54.94,101,2026-10-23,Night,20,11.724695,92.676235,11.760427,92.668623,6,"[{""checkpoint"": 1, ""latitude"": 11.724695, ""longitude"": 92.676235}, {""checkpoint"": 2, ""latitude"": 11.726132, ""longitude"": 92.668327}, {""checkpoint"": 3, ""latitude"": 11.73495, ""longitude"": 92.668525}, {""checkpoint"": 4, ""latitude"": 11.748277, ""longitude"": 92.672887}, {""checkpoint"": 5, ""latitude"": 11.745899, ""longitude"": 92.681036}, {""checkpoint"": 6, ""latitude"": 11.760427, ""longitude"": 92.668623}]",23.74,59,4,Police SUV,In Progress
ROUTE000034,Andaman and Nicobar Islands,Zone_33,AI Predicted,Preventive Patrol,MEDIUM,33.23,82,2027-06-04,Evening,18,11.735228,92.692925,11.742043,92.689407,7,"[{""checkpoint"": 1, ""latitude"": 11.735228, ""longitude"": 92.692925}, {""checkpoint"": 2, ""latitude"": 11.737668, ""longitude"": 92.706139}, {""checkpoint"": 3, ""latitude"": 11.723758, ""longitude"": 92.691711}, {""checkpoint"": 4, ""latitude"": 11.719509, ""longitude"": 92.679765}, {""checkpoint"": 5, ""latitude"": 11.727215, ""longitude"": 92.685801}, {""checkpoint"": 6, ""latitude"": 11.741089, ""longitude"": 92.69793}, {""checkpoint"": 7, ""latitude"": 11.742043, ""longitude"": 92.689407}]",21.85,55,4,Police Car,Completed
ROUTE000035,Andaman and Nicobar Islands,Zone_52,AI Predicted,Preventive Patrol,MEDIUM,45.13,93,2027-03-31,Night,2,11.761344,92.665012,11.779887,92.663621,4,"[{""checkpoint"": 1, ""latitude"": 11.761344, ""longitude"": 92.665012}, {""checkpoint"": 2, ""latitude"": 11.771661, ""longitude"": 92.6668}, {""checkpoint"": 3, ""latitude"": 11.78614, ""longitude"": 92.67139}, {""checkpoint"": 4, ""latitude"": 11.779887, ""longitude"": 92.663621}]",6.02,9,3,Police Car,Scheduled
ROUTE000036,Andaman and Nicobar Islands,Zone_16,AI Predicted,High-Risk Patrol,HIGH,54.94,101,2026-10-02,Night,20,11.729206,92.676454,11.720526,92.703912,7,"[{""checkpoint"": 1, ""latitude"": 11.729206, ""longitude"": 92.676454}, {""checkpoint"": 2, ""latitude"": 11.725519, ""longitude"": 92.67222}, {""checkpoint"": 3, ""latitude"": 11.718629, ""longitude"": 92.685274}, {""checkpoint"": 4, ""latitude"": 11.72775, ""longitude"": 92.685468}, {""checkpoint"": 5, ""latitude"": 11.721414, ""longitude"": 92.684619}, {""checkpoint"": 6, ""latitude"": 11.720206, ""longitude"": 92.696948}, {""checkpoint"": 7, ""latitude"": 11.720526, ""longitude"": 92.703912}]",12.57,20,6,Police Jeep,Completed
ROUTE000037,Andaman and Nicobar Islands,Zone_38,AI Predicted,Routine Patrol,MEDIUM,41.28,91,2027-03-06,Morning,8,11.731213,92.648545,11.731555,92.657622,5,"[{""checkpoint"": 1, ""latitude"": 11.731213, ""longitude"": 92.648545}, {""checkpoint"": 2, ""latitude"": 11.736866, ""longitude"": 92.649146}, {""checkpoint"": 3, ""latitude"": 11.732039, ""longitude"": 92.649063}, {""checkpoint"": 4, ""latitude"": 11.719293, ""longitude"": 92.64969}, {""checkpoint"": 5, ""latitude"": 11.731555, ""longitude"": 92.657622}]",18.38,27,2,Police Car,Scheduled
ROUTE000038,Andaman and Nicobar Islands,Zone_54,AI Predicted,Preventive Patrol,MEDIUM,41.93,90,2027-07-20,Night,22,11.724789,92.658717,11.726434,92.633992,4,"[{""checkpoint"": 1, ""latitude"": 11.724789, ""longitude"": 92.658717}, {""checkpoint"": 2, ""latitude"": 11.735786, ""longitude"": 92.645381}, {""checkpoint"": 3, ""latitude"": 11.727846, ""longitude"": 92.643451}, {""checkpoint"": 4, ""latitude"": 11.726434, ""longitude"": 92.633992}]",5.14,8,4,Police Motorcycle,Completed
ROUTE000039,Andaman and Nicobar Islands,Zone_1,AI Predicted,Preventive Patrol,MEDIUM,42.1,91,2027-02-16,Evening,18,11.752845,92.641379,11.745877,92.625982,4,"[{""checkpoint"": 1, ""latitude"": 11.752845, ""longitude"": 92.641379}, {""checkpoint"": 2, ""latitude"": 11.751091, ""longitude"": 92.627415}, {""checkpoint"": 3, ""latitude"": 11.747552, ""longitude"": 92.622465}, {""checkpoint"": 4, ""latitude"": 11.745877, ""longitude"": 92.625982}]",18.84,33,4,Police Car,In Progress
ROUTE000040,Andaman and Nicobar Islands,Zone_45,AI Predicted,Crime Prevention Patrol,HIGH,52.03,97,2026-07-31,Morning,6,11.720185,92.622644,11.67588,92.637382,8,"[{""checkpoint"": 1, ""latitude"": 11.720185, ""longitude"": 92.622644}, {""checkpoint"": 2, ""latitude"": 11.705204, ""longitude"": 92.611128}, {""checkpoint"": 3, ""latitude"": 11.703, ""longitude"": 92.619782}, {""checkpoint"": 4, ""latitude"": 11.709585, ""longitude"": 92.632485}, {""checkpoint"": 5, ""latitude"": 11.705133, ""longitude"": 92.632568}, {""checkpoint"": 6, ""latitude"": 11.692206, ""longitude"": 92.638111}, {""checkpoint"": 7, ""latitude"": 11.689402, ""longitude"": 92.62475}, {""checkpoint"": 8, ""latitude"": 11.67588, ""longitude"": 92.637382}]",20.83,39,4,Police SUV,In Progress
